"","neighborhood","lat","lng","Midwood","Bedford","Fordham South","Borough Park","Rugby-Remsen Village","East Flushing","Woodhaven","Madison","Parkchester"
"184","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",40.7032417,-73.9958466,0,0,0,0,0,0,0,0,0
"185","Clinton Hill",40.6893665,-73.9639021,0,0,0,0,0,0,0,0,0
"186","Williamsburg",40.7081156,-73.9570696,0,0,0,0,0,0,0,0,0
"187","park-cemetery-etc-Brooklyn",40.6781784,-73.9441579,0,0,0,0,0,0,0,0,0
"188","Hamilton Heights",40.8259597,-73.9496079,0,0,0,0,0,0,0,0,0
"189","Washington Heights South",40.8417082,-73.9393554,0,0,0,0,0,0,0,0,0
"190","Highbridge",40.8384699,-73.9271644,0,0,0,0,0,0,0,0,0
"191","West Concourse",40.8316761,-73.9227554,0,0,0,0,0,0,0,0,0
"192","Forest Hills",40.718106,-73.8448469,0,0,0,0,0,0,0,0,0
"193","park-cemetery-etc-Queens",40.7282239,-73.7948516,0,0,0,0,0,0,0,0,0
"194","Springfield Gardens South-Brookville",40.700244,-73.792844,0,0,0,0,0,0,0,0,0
"195","Airport",40.7769271,-73.8739659,0,0,0,0,0,0,0,0,0
