"","neighborhood","lat","lng","Midwood","Bedford","Fordham.South","Borough.Park","Rugby.Remsen.Village","East.Flushing","Woodhaven","Madison","Parkchester","Auburndale","Williamsbridge.Olinville","Murray.Hill","East.Elmhurst","Brownsville","East.New.York..Pennsylvania.Ave.","Kensington.Ocean.Parkway","Erasmus","Cambria.Heights","East.Flatbush.Farragut","Ocean.Parkway.South","Starrett.City","Central.Harlem.South","College.Point","Morrisania.Melrose","Elmhurst","Glen.Oaks.Floral.Park.New.Hyde.Park","Longwood","Yorkville","Upper.East.Side.Carnegie.Hill","Windsor.Terrace","Hammels.Arverne.Edgemere","Rikers.Island","Hunts.Point","Jackson.Heights","Bath.Beach","Old Town-Dongan Hills-South Beach","Flatbush","Melrose South-Mott Haven North","Ocean Hill","Morningside Heights","Soundview-Bruckner","Allerton-Pelham Gardens","Jamaica Estates-Holliswood","Hollis","Flatlands","East New York","Kingsbridge Heights","Norwood","Manhattanville","Grasmere-Arrochar-Ft. Wadsworth","Queens Village","Springfield Gardens North","Canarsie","Bensonhurst West","West New Brighton-New Brighton-St. George","West Village","East Village","Chinatown","Pelham Bay-Country Club-City Island","Woodlawn-Wakefield","Old Astoria","Van Cortlandt Village"
"37","Flatbush",40.6409217,-73.9624327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3962,1921,3249,5201,5013,3984,3023,1874,2451,4304,4835,3600,3601,2618,3194,1911,2303,4020,2350,2455,1823,5001,3933,4353,5258
"38","Melrose South-Mott Haven North",40.825761,-73.915231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5008,1891,2171,2217,4823,4289,5444,4816,1883,1416,1826,4451,5277,5174,4725,4556,5327,2582,2636,2848,2331,840,3005,2545
"39","Ocean Hill",40.5839897,-73.967075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4470,5502,6230,5372,4660,2473,3717,5399,5510,4711,4339,3603,4355,2810,1719,4481,3050,3307,3052,6016,6064,5179,5418
"40","Morningside Heights",40.8089564,-73.9624327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3091,2550,4325,3306,4750,4179,2037,2704,600,4464,3171,4593,4118,3961,4735,1704,2247,2253,2831,3371,3247,2075
"41","Soundview-Bruckner",40.8251988,-73.8668046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1841,4130,4328,6919,5702,3276,3026,3087,5497,4646,6679,5971,5514,7572,4001,3932,3963,1426,3267,3719,4039
"42","Allerton-Pelham Gardens",40.8569374,-73.8564634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5392,5382,5818,5385,1430,1505,2608,5360,5667,5991,5324,5377,5926,3414,3413,3682,1096,1400,4302,2307
"43","Jamaica Estates-Holliswood",40.7187082,-73.7704497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,4255,4038,4755,5254,4201,4920,1403,2411,2848,4242,6829,3654,4199,3842,4800,5591,2655,5335
"44","Hollis",40.7112203,-73.762495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3685,3124,5440,5060,3569,4350,462,2140,2278,3672,7167,3842,4459,2771,5148,5482,2965,5733
"45","Flatlands",40.6268432,-73.9330429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1853,5775,6031,4830,5071,3241,3796,1446,2720,4784,3053,3679,3413,5871,5039,3827,6303
"46","East New York",40.6568312,-73.8830701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5094,6021,5038,4226,2120,3130,1080,5018,4854,3332,2883,3215,5789,5523,3519,5783
