"","OBJECTID","ID","NAME","ALT_NAME","CROSS_ST","LONG_NAME","LABEL","BOROUGH","NGHBHD","ROUTES","TRANSFERS","COLOR","EXPRESS","CLOSED","lng","lat","UNIQUEID"
"109",109,351,"Ave N",NA,"McDonald Ave","Ave N (F) Brooklyn","Ave N (F)","Brooklyn",NA,"F","F","ORANGE",NA,NA,-73.9739669200449,40.6140365132644,"109"
"110",110,352,"Ave P",NA,"McDonald Ave","Ave P (F) Brooklyn","Ave P (F)","Brooklyn",NA,"F","F","ORANGE",NA,NA,-73.9729569990212,40.6088070014913,"110"
"111",111,395,"Ave U",NA,"E 16th St","Ave U (Q) Brooklyn","Ave U (Q)","Brooklyn",NA,"Q","Q","YELLOW",NA,NA,-73.9558328423507,40.5988994141306,"111"
"112",112,434,"Ave U",NA,"W 7th St","Ave U (N) Brooklyn","Ave U (N)","Brooklyn",NA,"N","N","YELLOW",NA,NA,-73.9789140643246,40.5964207008075,"112"
"113",113,354,"Ave U",NA,"McDonald Ave","Ave U (F) Brooklyn","Ave U (F)","Brooklyn",NA,"F","F","ORANGE",NA,NA,-73.9732854308558,40.5969679235046,"113"
"114",114,355,"Ave X",NA,"McDonald Ave","Ave X (F) Brooklyn","Ave X (F)","Brooklyn",NA,"F","F","ORANGE",NA,NA,-73.9741968153057,40.590107968389,"114"
"115",115,426,"Bay 50th St",NA,"Stillwell Ave","Bay 50th St (D) Brooklyn","Bay 50th St (D)","Brooklyn",NA,"D","D","ORANGE",NA,NA,-73.9837267557526,40.5885810128478,"115"
"117",117,432,"Bay Pky",NA,"W 7th St/Ave","Bay Pky (N) Brooklyn","Bay Pky (N)","Brooklyn",NA,"N","N","YELLOW",NA,NA,-73.9821236980731,40.6132199494551,"117"
"118",118,350,"Bay Pky",NA,"McDonald Ave","Bay Pky (F) Brooklyn","Bay Pky (F)","Brooklyn",NA,"F","F","ORANGE",NA,NA,-73.9752763606734,40.6209330797727,"118"
"119",119,411,"Bay Ridge Ave",NA,"4th Ave","Bay Ridge Ave (R) Brooklyn","Bay Ridge Ave (R)","Brooklyn",NA,"R","R","YELLOW",NA,NA,-74.0235138766879,40.6346187309103,"119"
"120",120,444,"Bedford Ave",NA,"N 7th St","Bedford Ave (L) Brooklyn","Bedford Ave (L)","Brooklyn",NA,"L","L","GREY",NA,NA,-73.956543574319,40.7170773712532,"120"
"121",121,282,"Bedford Ave","Nostrand Ave","Lafayette Ave","Bedford Ave / Nostrand Ave (G) Brooklyn","Bedford Ave / Nostrand Ave (G)","Brooklyn",NA,"G","G","LIME",NA,NA,-73.9535219998262,40.6896270014081,"121"
"124",124,388,"Beverly Rd",NA,"E 16th St","Beverly Rd (Q) Brooklyn","Beverly Rd (Q)","Brooklyn",NA,"Q","Q","YELLOW",NA,NA,-73.9645432411269,40.6443590735003,"124"
"128",128,436,"Botanic Garden",NA,"Eastern Pky","Botanic Garden (S) Brooklyn","Botanic Garden (S)","Brooklyn",NA,"S","S,2,3,4,5","GREY",NA,NA,-73.9590489814207,40.670866734209,"128"
"130",130,285,"Broadway",NA,"Union Ave","Broadway (G) Brooklyn","Broadway (G)","Brooklyn",NA,"G","G","LIME",NA,NA,-73.9502211315224,40.7054768297857,"130"
"133",133,455,"Bushwick Ave","Aberdeen St","Aberdeen St","Bushwick Ave / Aberdeen St (L) Brooklyn","Bushwick Ave / Aberdeen St (L)","Brooklyn",NA,"L","L","GREY",NA,NA,-73.905116999611,40.6828760021283,"133"
"135",135,332,"Central Ave",NA,"Myrtle Ave","Central Ave (M) Brooklyn","Central Ave (M)","Brooklyn",NA,"M","M","BROWN",NA,NA,-73.9251491487511,40.6980944998247,"135"
"137",137,346,"Church Ave",NA,"McDonald Ave","Church Ave (F) Brooklyn","Church Ave (F)","Brooklyn",NA,"F","F","ORANGE",NA,NA,-73.9794325888596,40.642809844478,"137"
"141",141,281,"Classon Ave",NA,"Lafayette Ave","Classon Ave (G) Brooklyn","Classon Ave (G)","Brooklyn",NA,"G","G","LIME",NA,NA,-73.9599900008757,40.6888890005692,"141"
"142",142,322,"Cleveland St",NA,"Fulton St","Cleveland St (J) Brooklyn","Cleveland St (J)","Brooklyn",NA,"J","J","BROWN",NA,NA,-73.8855532070833,40.6796634426161,"142"
"143",143,280,"Clinton Ave","Washington Ave","Lafayette Ave","Clinton Ave / Washington Ave (G) Brooklyn","Clinton Ave / Washington Ave (G)","Brooklyn",NA,"G","G","LIME",NA,NA,-73.9668323134841,40.6880883033768,"143"
"144",144,223,"Clinton Ave","Washington Ave","Fulton St","Clinton Ave / Washington Ave (C) Brooklyn","Clinton Ave / Washington Ave (C)","Brooklyn",NA,"C","C","BLUE",NA,NA,-73.9658493782655,40.6832454575914,"144"
"145",145,389,"Cortelyou Rd",NA,"E 16th St","Cortelyou Rd (Q) Brooklyn","Cortelyou Rd (Q)","Brooklyn",NA,"Q","Q","YELLOW",NA,NA,-73.9639873975812,40.641402655448,"145"
"148",148,325,"Cypress Hills",NA,"Jamaica Ave","Cypress Hills (J) Brooklyn","Cypress Hills (J)","Brooklyn",NA,"J","J","BROWN",NA,NA,-73.8738759996619,40.6892610013672,"148"
"149",149,451,"DeKalb Ave",NA,"Wyckoff Ave","DeKalb Ave (L) Brooklyn","DeKalb Ave (L)","Brooklyn",NA,"L","L","GREY",NA,NA,-73.9192171474094,40.7043181454787,"149"
"151",151,347,"Ditmas Ave",NA,"McDonald Ave","Ditmas Ave (F) Brooklyn","Ditmas Ave (F)","Brooklyn",NA,"F","F","ORANGE",NA,NA,-73.9780732987057,40.6355490906159,"151"
"152",152,461,"E 105th St",NA,"Turnbull Ave","E 105th St (L) Brooklyn","E 105th St (L)","Brooklyn",NA,"L","L","GREY",NA,NA,-73.8990320005914,40.6513310014258,"152"
"157",157,284,"Flushing Ave",NA,"Marcy Ave","Flushing Ave (G) Brooklyn","Flushing Ave (G)","Brooklyn",NA,"G","G","LIME",NA,NA,-73.9501211105259,40.6997752671759,"157"
"158",158,345,"Fort Hamilton Pky",NA,"Prospect Ave","Fort Hamilton Pky (F) Brooklyn","Fort Hamilton Pky (F)","Brooklyn",NA,"F","F","ORANGE",NA,NA,-73.9758669980816,40.6495250012427,"158"
"159",159,224,"Franklin Ave",NA,"Fulton St","Franklin Ave (C) Brooklyn","Franklin Ave (C)","Brooklyn",NA,"C","C,S","BLUE",NA,NA,-73.9556656074789,40.6811346496861,"159"
"160",160,438,"Franklin Ave",NA,"Fulton St","Franklin Ave (S) Brooklyn","Franklin Ave (S)","Brooklyn",NA,"S","C,S","GREY",NA,NA,-73.9556394840743,40.6810333607367,"160"
